ENM0095, CONFORMACAO DOS METAIS
ENM0109, VIBRACOES 1
ENM0110, VIBRACOES 2
ENM0113, INTRODUCAO A MECANICA EXPERIMENTAL
ENM0120, MECANICA 1
ENM0121, MECANICA 2
ENM0122, PROJETO DE MAQUINAS 1
ENM0123, PROJETO DE MAQUINAS 2
ENM0124, PROJETO DE SISTEMAS MECANICOS
ENM0125, PROJETO DE MECANISMOS
ENM0126, INTRODUÇÃO À CIÊNCIA DOS MATERIAIS
ENM0127, TECNOLOGIA DE FABRICACAO 1
ENM0128, TRANSPORTE DE CALOR E MASSA
ENM0129, PROJETO DE GRADUACAO 1
ENM0130, PROJETO DE GRADUACAO 2
ENM0131, DESENHO MECANICO ASSISTIDO POR COMPUTADOR 1
ENM0132, DESENHO MECANICO ASSISTIDO POR COMPUTADOR 2
ENM0134, SISTEMAS INTEGRADOS DE MANUFATURA
ENM0140, MECANICA DOS FLUIDOS 1
ENM0142, SOLDAGEM
ENM0143, INTRODUCAO A ENGENHARIA MECANICA
ENM0145, METROLOGIA
ENM0146, TECNOLOGIA MECANICA 1
ENM0157, ESCOAMENTO COMPRESSIVEL
ENM0159, INTRODUCAO A TURBULENCIA
ENM0164, MECANICA DOS MATERIAIS 1
ENM0165, MECANICA DOS MATERIAIS 2
ENM0168, ROBOTICA INDUSTRIAL 1
ENM0171, PROCESSOS DE FABRICACAO
ENM0172, MATERIAIS INDUSTRIAIS
ENM0173, SISTEMAS MECANICOS
ENM0184, AUTOMAÇÃO DE PROCESSOS
ENM0190, DESENHO MECÂNICO PARA ENGENHARIA
ENM0193, INTRODUÇÃO A MÉTODOS DE PERTURBAÇÕES EM FLUÍDOS
ENM0195, MODELAGEM E IMPLEMENTAÇÃO DE SISTEMAS A EVENTOS DISCRETOS
ENM0280, DINÂMICA DOS FLUIDOS COMPUTACIONAL
ENM0284, PROCESSOS ESPECIAIS DE SOLDAGEM
ENM0286, ANÁLISE MODAL EXPERIMENTAL
ENM0323, PRINCÍPIOS DE INTERNET DAS COISAS
ELA0007, POLÍTICA E ESTADO NAS AMÉRICAS
ELA0012, SOCIEDADE, CULTURA E POLÍTICA NAS AMÉRICAS
ELA0013, INTRODUÇÃO À METODOLOGIA DAS CIÊNCIAS SOCIAIS
ELA0014, CIÊNCIAS SOCIAIS LATINO-AMERICANAS 1
ELA0117, INTRODUÇÃO ÀS CIÊNCIAS SOCIAIS LATINO-AMERICANAS
FAR0001, PRÁTICAS EM VIROLOGIA MOLECULAR
FAR0002, CONTROLE DE QUALIDADE FÍSICO-QUÍMICO
FAR0003, CONTROLE DE QUALIDADE MICROBIOLÓGICO
FAR0004, FARMACOLOGIA 3
FAR0006, ESTÁGIO SUPERVISIONADO 1
FAR0007, FÍSICA INDUSTRIAL FARMACÊUTICA
FAR0009, FARMACOTÉCNICA COM ASPECTOS TECNOLÓGICOS
FAR0010, TÉCNICA INSTRUMENTAL FARMACÊUTICA
FAR0016, INTRODUÇÃO A CIÊNCIAS FARMACÊUTICAS
FAR0017, ESTÁGIO SUPERVISIONADO 2
FAR0018, ESTÁGIO SUPERVISIONADO 3
FAR0019, ESTÁGIO SUPERVISIONADO 4
FAR0021, DIAGNÓSTICO LABORATORIAL EM IMUNOLOGIA CLÍNICA
FAR0023, INTRODUÇÃO A FARMÁCIA HOSPITALAR
FAR0028, DIAGNÓSTICO LABORATORIAL EM MICROBIOLOGIA CLÍNICA
FAR0031, FARMACOLOGIA
FAR0035, CIÊNCIA ALÉM DA CIÊNCIA
FAR0041, TÓPICOS EM TOXICOLOGIA
FAR0042, TÓPICOS EM FARMACOLOGIA MOLECULAR
FAR0048, BIOPROSPECÇÃO FARMACÊUTICA
FAR0049, PRÁTICAS EM FARMÁCIA CLÍNICA
FAR0050, BROMATOLOGIA
FAR0119, ASSISTÊNCIA FARMACÊUTICA 1
FAR0120, ESTÁGIO EM TOXICOLOGIA
FAR0123, ESTAGIO EM GENETICA MOLECULAR
FAR0124, GENÉTICA BÁSICA E MOLECULAR
FAR0126, QUIMICA FARMACEUTICA
FAR0127, FARMACOGNOSIA
FAR0129, ESTÁGIO EM METABOLISMO MOLECULAR
FAR0130, ESTAGIO EM BIOTECNOLOGIA
FAR0134, ECONOMIA E GESTÃO DE EMPRESAS FARMACÊUTICAS
FAR0135, EPIDEMIOLOGIA DO MEDICAMENTO
FAR0138, ESTÁGIO EM FARMACOGNOSIA
FAR0141, ENZIMOLOGIA E TECNOLOGIA DE FERMENTAÇÃO
FAR0143, TOXICOLOGIA
FAR0147, ESTÁGIO EM ASSISTÊNCIA FARMACÊUTICA 1 - FARMÁCIA HOSPITALAR
FAR0149, ESTÁGIO EM FARMACOLOGIA
FAR0153, ESTÁGIO EM ANÁLISE DE MEDICAMENTOS
FAR0154, ESTÁGIO EM FARMACOTÉCNICA E COSMETOLOGIA
FAR0155, ESTÁGIO EM TECNOLOGIA FARMACÊUTICA
FAR0157, PRÁTICAS EM QUÍMICA ORGÂNICA
FAR0163, TOXICOLOGIA ANALÍTICA E DE ALIMENTOS
FAR0166, MÉTODOS DE PESQUISA EM CIÊNCIAS FARMACÊUTICAS
